OrderID,OrderDate,ProductID,CustomerID,ProvinceID,CountryID,Quantity,UnitPrice,Discount
1001,2025-05-02,P017,C0355,101,1,2,2613,0.04
1002,2025-07-05,P001,C0528,101,1,3,2665,0.15
1003,2024-03-23,P009,C0133,102,1,4,369,0.14
1004,2025-01-12,P004,C0355,102,1,3,1816,0.08
1005,2024-04-10,P005,C0526,103,1,7,568,0.19
1006,2024-05-20,P020,C0967,103,1,1,1835,0.15
1007,2025-03-28,P006,C0251,104,1,3,1388,0.17
1008,2024-10-30,P001,C0901,104,1,9,1065,0.17
1009,2024-06-30,P007,C0065,105,1,4,1111,0.1
1010,2024-03-31,P016,C0607,105,1,7,665,0.17
1011,2024-08-26,P004,C0019,106,1,3,1302,0.18
1012,2025-04-05,P019,C0714,106,1,2,2068,0.11
1013,2024-04-01,P011,C0813,107,1,6,2049,0.14
1014,2024-12-02,P012,C0778,107,1,1,556,0.01
1015,2024-04-04,P010,C0858,108,1,6,2543,0.01
1016,2024-11-05,P010,C0640,108,1,8,401,0.1
1017,2024-01-17,P016,C0810,109,1,3,2503,0.12
1018,2024-05-23,P003,C0638,109,1,10,947,0.15
1019,2024-05-18,P009,C0284,110,1,8,2112,0.12
1020,2025-02-05,P017,C0703,110,1,1,2649,0.06
1021,2024-01-22,P013,C0414,111,1,7,653,0.13
1022,2025-08-04,P020,C0618,111,1,1,309,0.14
1023,2024-11-27,P015,C0101,112,1,9,1417,0.01
1024,2025-08-20,P009,C0479,112,1,4,1204,0.06
1025,2024-09-21,P013,C0236,113,1,7,855,0.19
1026,2024-04-02,P001,C0010,113,1,9,1434,0.09
1027,2024-02-13,P019,C0557,114,1,1,527,0.08
1028,2024-10-14,P005,C0695,114,1,10,1213,0.13
1029,2024-03-27,P018,C0627,115,1,7,2691,0.18
1030,2024-03-08,P008,C0300,115,1,7,2117,0.11
1031,2024-07-02,P020,C0888,116,1,4,1160,0.09
1032,2024-09-03,P008,C0413,116,1,1,483,0.17
1033,2024-10-31,P005,C0110,117,1,1,1194,0.16
1034,2024-03-20,P019,C0249,117,1,5,1080,0.2
1035,2025-11-23,P013,C0602,118,1,5,499,0.13
1036,2025-05-06,P002,C0355,118,1,1,1520,0.06
1037,2024-07-30,P002,C0248,119,1,3,1747,0.1
1038,2025-03-26,P018,C0971,119,1,1,1389,0.03
1039,2025-05-12,P004,C0361,120,1,3,132,0.04
1040,2025-06-06,P014,C0763,120,1,9,2736,0.03
1041,2024-02-03,P003,C0851,121,1,5,2752,0.03
1042,2024-12-27,P006,C0469,121,1,5,2661,0.14
1043,2025-10-04,P006,C0896,122,1,1,2783,0.06
1044,2025-03-02,P015,C0784,122,1,8,1520,0.14
1045,2025-01-11,P009,C0401,123,1,1,1601,0.15
1046,2024-08-22,P004,C0328,123,1,3,2731,0.04
1047,2024-11-15,P013,C0414,124,1,2,1675,0.12
1048,2024-05-03,P015,C0492,124,1,8,2871,0.16
1049,2024-06-22,P014,C0972,201,2,10,1096,0.04
1050,2025-09-30,P017,C0223,201,2,2,1413,0.14
1051,2024-10-31,P006,C0805,202,2,4,2844,0.16
1052,2025-09-25,P017,C0029,202,2,6,2611,0.07
1053,2025-01-24,P010,C0854,203,2,9,396,0.17
1054,2025-07-13,P013,C0375,203,2,1,442,0.04
1055,2024-09-03,P018,C0423,204,2,5,2747,0.05
1056,2025-03-14,P016,C0120,204,2,6,1103,0.04
1057,2024-09-23,P014,C0451,205,2,8,2370,0.08
1058,2025-10-27,P019,C0879,205,2,4,1121,0.06
1059,2025-10-10,P019,C0056,206,2,2,421,0.04
1060,2024-02-10,P004,C0841,206,2,8,752,0.07
1061,2024-12-18,P002,C0061,207,2,3,1705,0.08
1062,2024-05-27,P001,C0776,207,2,8,1940,0.18
1063,2024-12-09,P019,C0557,208,2,6,888,0.1
1064,2024-01-07,P013,C0222,208,2,1,961,0.06
1065,2025-03-04,P009,C0930,209,2,7,172,0.08
1066,2024-07-07,P004,C0375,209,2,5,775,0.1
1067,2024-06-12,P019,C0847,210,2,2,1824,0.05
1068,2024-11-16,P017,C0526,210,2,5,770,0.01
1069,2024-05-08,P009,C0408,211,2,5,2262,0.1
1070,2024-12-04,P009,C0544,211,2,4,1450,0.09
1071,2024-11-27,P006,C0541,212,2,7,1011,0.11
1072,2025-10-27,P016,C0935,212,2,2,2346,0.12
1073,2024-08-23,P014,C0626,213,2,5,2177,0.1
1074,2025-02-06,P001,C0798,213,2,10,224,0.15
1075,2025-02-28,P011,C0198,214,2,10,2588,0.17
1076,2024-01-23,P007,C0026,214,2,7,253,0.02
1077,2025-11-12,P020,C0031,215,2,5,1756,0.03
1078,2025-05-26,P001,C0407,215,2,5,1111,0.19
1079,2024-03-05,P015,C0587,216,2,6,1772,0.19
1080,2024-06-04,P002,C0472,216,2,5,866,0.06
1081,2024-11-27,P011,C0581,217,2,3,1708,0.19
1082,2024-10-23,P020,C0732,217,2,1,2111,0.09
1083,2024-11-02,P002,C0309,218,2,10,2077,0.09
1084,2025-01-03,P012,C0898,218,2,10,2188,0.04
1085,2024-12-29,P019,C0276,219,2,2,144,0.03
1086,2024-08-26,P015,C0714,219,2,3,1811,0.02
1087,2025-08-18,P001,C0614,220,2,7,1437,0.03
1088,2025-11-06,P002,C0116,220,2,10,2387,0.05
1089,2024-11-03,P003,C0647,221,2,5,2626,0.01
1090,2024-11-14,P004,C0679,221,2,5,2074,0.03
1091,2025-06-14,P011,C0275,222,2,5,2943,0.05
1092,2024-05-30,P020,C0793,222,2,7,2029,0.05
1093,2025-08-29,P006,C0699,223,2,6,546,0.15
1094,2025-09-08,P006,C0567,223,2,1,1381,0.05
1095,2024-11-18,P008,C0805,224,2,5,2750,0.08
1096,2024-12-23,P017,C0371,224,2,7,1915,0.09
1097,2025-11-17,P014,C0979,225,2,9,2511,0.09
1098,2024-01-22,P010,C0939,225,2,3,730,0.01
1099,2024-01-09,P016,C0111,226,2,9,2801,0.19
1100,2025-09-10,P008,C0507,226,2,2,183,0.17
1101,2024-03-20,P020,C0147,227,2,7,218,0.06
1102,2024-05-07,P005,C0124,227,2,7,2497,0.05
1103,2024-07-20,P013,C0751,301,3,1,1164,0.12
1104,2024-12-24,P016,C0276,301,3,7,495,0.18
1105,2024-09-18,P004,C0591,302,3,7,1080,0.16
1106,2024-06-02,P019,C0494,302,3,2,1427,0.05
1107,2025-03-11,P002,C0462,303,3,5,125,0.0
